Время[c],Напряжение[В]
0.1680,1.4022
0.1685,1.3972
0.1690,1.3972
0.1696,1.3972
0.1701,1.4022
0.1706,1.3972
0.1711,1.3972
0.1717,1.4022
0.1722,1.4022
0.1727,1.4022
0.1732,1.4022
0.1737,1.3972
0.1743,1.4022
0.1748,1.4022
0.1753,1.4022
0.1758,1.3972
0.1764,1.3921
0.1769,1.3972
0.1774,1.3972
0.1779,1.3972
0.1785,1.4022
0.1790,1.3972
0.1795,1.3972
0.1800,1.3972
0.1805,1.4022
0.1811,1.4022
0.1816,1.3921
0.1821,1.4022
0.1826,1.4022
0.1832,1.4022
0.1837,1.4022
0.1842,1.4022
0.1847,1.3972
0.1852,1.4022
0.1858,1.3972
0.1863,1.3972
0.1868,1.4022
0.1873,1.3972
0.1879,1.3972
0.1884,1.3972
0.1889,1.4022
0.1894,1.3972
0.1900,1.3972
0.1905,1.4022
0.1910,1.4022
0.1915,1.4022
0.1921,1.4022
0.1926,1.4022
0.1931,1.4073
0.1936,1.4022
0.1942,1.4073
0.1947,1.4022
0.1952,1.4022
0.1957,1.4022
0.1962,1.3972
0.1968,1.4022
0.1973,1.4022
0.1978,1.4022
0.1983,1.4022
0.1989,1.4022
0.1994,1.4022
0.1999,1.3972
0.2004,1.4022
0.2010,1.4073
0.2015,1.4022
0.2020,1.3972
0.2025,1.4022
0.2030,1.4022
0.2036,1.4022
0.2041,1.4022
0.2046,1.4022
0.2051,1.4073
0.2057,1.4022
0.2062,1.3972
0.2067,1.4022
0.2072,1.4073
0.2078,1.4073
0.2083,1.4022
0.2088,1.4022
0.2093,1.4073
0.2099,1.4073
0.2104,1.4073
0.2109,1.4022
0.2114,1.4073
0.2119,1.4022
0.2125,1.4022
0.2130,1.3972
0.2135,1.4022
0.2140,1.4022
0.2146,1.4022
0.2151,1.4022
0.2156,1.4022
0.2161,1.4073
0.2167,1.4022
0.2172,1.3972
0.2177,1.4022
0.2182,1.4073
0.2188,1.4073
0.2193,1.4022
0.2198,1.4073
0.2203,1.4073
0.2208,1.4073
0.2214,1.4073
0.2219,1.4022
0.2224,1.3972
0.2229,1.4022
0.2235,1.3972
0.2240,1.4022
0.2245,1.4022
0.2250,1.4022
0.2256,1.4073
0.2261,1.4022
0.2266,1.3972
0.2271,1.4073
0.2276,1.4022
0.2282,1.3972
0.2287,1.4022
0.2292,1.4022
0.2297,1.4022
0.2303,1.4073
0.2308,1.4022
0.2313,1.4022
0.2318,1.4022
0.2324,1.4022
0.2329,1.4022
0.2334,1.4073
0.2339,1.4073
0.2344,1.4022
0.2350,1.4022
0.2355,1.4022
0.2360,1.3972
0.2365,1.3972
0.2371,1.4022
0.2376,1.4073
0.2381,1.4073
0.2386,1.4022
0.2392,1.4022
0.2397,1.4022
0.2402,1.4022
0.2407,1.4022
0.2412,1.4022
0.2418,1.4022
0.2423,1.4022
0.2428,1.4022
0.2433,1.4073
0.2439,1.4022
0.2444,1.4022
0.2449,1.4022
0.2454,1.4022
0.2460,1.4022
0.2465,1.3972
0.2470,1.4022
0.2475,1.4022
0.2481,1.3972
0.2486,1.4022
0.2491,1.4022
0.2496,1.4073
0.2501,1.4022
0.2507,1.4022
0.2512,1.3972
0.2517,1.4022
0.2522,1.4022
0.2528,1.4073
0.2533,1.4022
0.2538,1.3972
0.2543,1.3972
0.2549,1.3972
0.2554,1.4022
0.2559,1.4022
0.2564,1.4022
0.2569,1.3972
0.2575,1.3972
0.2580,1.4022
0.2585,1.4073
0.2590,1.3972
0.2596,1.3972
0.2605,1.4022
0.2610,1.4022
0.2615,1.4073
0.2621,1.4073
0.2626,1.3972
0.2631,1.4073
0.2636,1.4022
0.2642,1.4022
0.2647,1.4022
0.2652,1.3972
0.2666,1.4022
0.2671,1.3921
0.2677,1.3972
0.2682,1.4073
0.2687,1.4022
0.2693,1.4073
0.2698,1.4022
0.2703,1.4022
0.2709,1.3972
0.2714,1.4022
0.2719,1.3972
0.2725,1.4022
0.2730,1.4022
0.2736,1.4022
0.2741,1.3972
0.2747,1.4022
0.2752,1.4022
0.2757,1.4022
0.2762,1.4073
0.2767,1.4022
0.2773,1.4022
0.2778,1.4022
0.2783,1.4022
0.2788,1.4073
0.2794,1.3972
0.2799,1.4022
0.2804,1.3972
0.2809,1.3972
0.2814,1.3972
0.2820,1.3972
0.2825,1.3972
0.2830,1.4022
0.2835,1.4022
0.2841,1.4022
0.2846,1.3921
0.2851,1.3972
0.2856,1.4073
0.2861,1.4022
0.2867,1.4022
0.2872,1.4022
0.2877,1.3972
0.2882,1.3972
0.2887,1.4022
0.2893,1.4022
0.2898,1.3972
0.2903,1.3972
0.2908,1.4022
0.2914,1.4022
0.2919,1.4022
0.2924,1.3972
0.2929,1.4022
0.2935,1.4022
0.2940,1.4022
0.2945,1.3921
0.2950,1.3972
0.2955,1.4022
0.2961,1.4022
0.2966,1.3972
0.2971,1.4022
0.2976,1.3972
0.2981,1.4022
0.2987,1.4022
0.2992,1.4022
0.2997,1.3972
0.3002,1.3972
0.3008,1.3972
0.3013,1.3972
0.3018,1.3921
0.3023,1.4022
0.3028,1.4022
0.3034,1.3921
0.3039,1.3972
0.3044,1.4022
0.3049,1.4022
0.3055,1.4022
0.3060,1.4022
0.3065,1.3921
0.3070,1.3972
0.3075,1.3972
0.3081,1.3972
0.3086,1.3972
0.3091,1.3972
0.3096,1.3972
0.3101,1.4022
0.3107,1.3921
0.3112,1.3972
0.3117,1.3972
0.3122,1.3972
0.3128,1.4022
0.3133,1.3972
0.3138,1.3972
0.3143,1.3972
0.3149,1.3972
0.3154,1.3972
0.3159,1.3921
0.3164,1.3972
0.3169,1.3972
0.3175,1.3972
0.3180,1.3972
0.3185,1.3972
0.3190,1.3972
0.3196,1.3972
0.3201,1.3972
0.3206,1.3972
0.3211,1.3972
0.3216,1.3972
0.3222,1.3972
0.3227,1.3972
0.3232,1.3972
0.3237,1.3972
0.3242,1.3972
0.3248,1.3972
0.3253,1.3972
0.3258,1.3972
0.3263,1.3972
0.3269,1.3972
0.3274,1.3921
0.3279,1.3972
0.3284,1.3972
0.3289,1.3921
0.3295,1.3921
0.3300,1.3972
0.3305,1.3972
0.3310,1.3921
0.3315,1.3972
0.3321,1.3921
0.3326,1.3972
0.3331,1.3972
0.3336,1.3972
0.3342,1.3921
0.3347,1.3921
0.3352,1.3972
0.3357,1.3972
0.3362,1.3921
0.3368,1.3972
0.3373,1.3972
0.3378,1.3921
0.3383,1.3921
0.3388,1.3921
0.3394,1.3972
0.3399,1.3921
0.3404,1.3921
0.3409,1.3972
0.3415,1.3972
0.3420,1.3921
0.3425,1.3921
0.3430,1.3921
0.3435,1.3921
0.3441,1.3972
0.3446,1.3972
0.3451,1.3972
0.3456,1.3921
0.3462,1.3972
0.3467,1.3871
0.3472,1.3972
0.3477,1.3921
0.3482,1.3972
0.3488,1.3921
0.3493,1.3921
0.3498,1.3921
0.3503,1.3972
0.3508,1.3921
0.3514,1.3871
0.3519,1.3972
0.3524,1.3972
0.3529,1.3972
0.3535,1.3921
0.3540,1.3972
0.3545,1.3921
0.3550,1.3921
0.3555,1.3921
0.3561,1.3972
0.3566,1.3921
0.3571,1.3921
0.3576,1.3921
0.3581,1.3972
0.3587,1.3972
0.3592,1.3921
0.3597,1.3921
0.3602,1.3921
0.3608,1.3921
0.3613,1.3921
0.3618,1.3921
0.3623,1.3972
0.3628,1.3921
0.3634,1.3921
0.3639,1.3921
0.3644,1.3921
0.3649,1.3972
0.3655,1.3972
0.3660,1.3972
0.3665,1.3921
0.3670,1.3871
0.3676,1.3921
0.3681,1.3921
0.3686,1.3921
0.3691,1.3871
0.3696,1.3871
0.3702,1.3921
0.3707,1.3921
0.3712,1.3921
0.3717,1.3972
0.3723,1.3921
0.3728,1.3871
0.3733,1.3972
0.3738,1.3921
0.3744,1.3921
0.3749,1.3921
