Время[c],Напряжение[В]
0.1757,2.5825
0.1762,2.5926
0.1767,2.5825
0.1772,2.5825
0.1778,2.5825
0.1783,2.5926
0.1788,2.5926
0.1793,2.5926
0.1799,2.5825
0.1804,2.5926
0.1809,2.5825
0.1814,2.5825
0.1819,2.5926
0.1825,2.5926
0.1830,2.5926
0.1835,2.5926
0.1840,2.5926
0.1846,2.5926
0.1851,2.5926
0.1856,2.5825
0.1862,2.5926
0.1867,2.5926
0.1872,2.5977
0.1877,2.5876
0.1883,2.5825
0.1888,2.5876
0.1893,2.5876
0.1898,2.5926
0.1904,2.5876
0.1909,2.5926
0.1914,2.5876
0.1919,2.5825
0.1925,2.5825
0.1930,2.5876
0.1935,2.5926
0.1940,2.5926
0.1945,2.5926
0.1951,2.5825
0.1957,2.5926
0.1962,2.5825
0.1967,2.5876
0.1972,2.5926
0.1978,2.5926
0.1983,2.5926
0.1988,2.5825
0.1993,2.5825
0.1998,2.5825
0.2004,2.5926
0.2009,2.5926
0.2014,2.5926
0.2019,2.5926
0.2025,2.5876
0.2030,2.5977
0.2035,2.5926
0.2040,2.5926
0.2046,2.5876
0.2051,2.5825
0.2056,2.5825
0.2062,2.5926
0.2067,2.5926
0.2072,2.5926
0.2077,2.5825
0.2083,2.5825
0.2088,2.5876
0.2093,2.5876
0.2098,2.5926
0.2104,2.5876
0.2109,2.5926
0.2114,2.5926
0.2119,2.5926
0.2124,2.5825
0.2130,2.5926
0.2135,2.5926
0.2140,2.5876
0.2145,2.5876
0.2151,2.5825
0.2156,2.5926
0.2161,2.5876
0.2167,2.5926
0.2172,2.5876
0.2177,2.5926
0.2182,2.5876
0.2188,2.5926
0.2193,2.5876
0.2198,2.5876
0.2203,2.5825
0.2208,2.5926
0.2214,2.5876
0.2219,2.5825
0.2224,2.5926
0.2229,2.5876
0.2235,2.5876
0.2240,2.5876
0.2245,2.5926
0.2250,2.5825
0.2256,2.5926
0.2261,2.5876
0.2266,2.5926
0.2271,2.5926
0.2277,2.5926
0.2282,2.5825
0.2287,2.5825
0.2292,2.5926
0.2297,2.5876
0.2303,2.5926
0.2308,2.5926
0.2313,2.5876
0.2319,2.5926
0.2324,2.5926
0.2329,2.5876
0.2334,2.5926
0.2339,2.5926
0.2345,2.5825
0.2350,2.5876
0.2355,2.5926
0.2361,2.5977
0.2366,2.5876
0.2371,2.5977
0.2376,2.5926
0.2382,2.5825
0.2387,2.5876
0.2392,2.5876
0.2397,2.5926
0.2402,2.5926
0.2408,2.5825
0.2413,2.5825
0.2418,2.5876
0.2423,2.5926
0.2429,2.5876
0.2434,2.5825
0.2439,2.5825
0.2444,2.5926
0.2450,2.5926
0.2455,2.5876
0.2460,2.5876
0.2465,2.5926
0.2471,2.5926
0.2476,2.5876
0.2481,2.5926
0.2486,2.5926
0.2492,2.5926
0.2497,2.5926
0.2502,2.5825
0.2507,2.5876
0.2512,2.5926
0.2518,2.5876
0.2523,2.5825
0.2528,2.5876
0.2534,2.5876
0.2539,2.5876
0.2544,2.5926
0.2549,2.5926
0.2555,2.5926
0.2560,2.5926
0.2565,2.5876
0.2570,2.5926
0.2576,2.5926
0.2581,2.5876
0.2586,2.5876
0.2591,2.5926
0.2597,2.5825
0.2602,2.5825
0.2607,2.5825
0.2612,2.5926
0.2618,2.5876
0.2623,2.5876
0.2628,2.5876
0.2633,2.5876
0.2638,2.5825
0.2644,2.5825
0.2649,2.5876
0.2654,2.5926
0.2659,2.5825
0.2665,2.5926
0.2670,2.5926
0.2675,2.5926
0.2681,2.5876
0.2687,2.5825
0.2693,2.5876
0.2699,2.5926
0.2706,2.5926
0.2711,2.5876
0.2717,2.5926
0.2723,2.5825
0.2728,2.5876
0.2734,2.5876
0.2739,2.5876
0.2745,2.5876
0.2750,2.5876
0.2756,2.5825
0.2762,2.5926
0.2768,2.5825
0.2773,2.5876
0.2779,2.5926
0.2784,2.5926
0.2790,2.5876
0.2795,2.5825
0.2801,2.5825
0.2806,2.5825
0.2812,2.5926
0.2817,2.5926
0.2822,2.5926
0.2827,2.5876
0.2833,2.5977
0.2838,2.5876
0.2843,2.5876
0.2849,2.5926
0.2854,2.5876
0.2860,2.5926
0.2866,2.5926
0.2871,2.5825
0.2877,2.5926
0.2882,2.5926
0.2887,2.5977
0.2905,2.5926
0.2910,2.5926
0.2916,2.5876
0.2922,2.5825
0.2928,2.5825
0.2933,2.5876
0.2938,2.5926
0.2944,2.5876
0.2950,2.5876
0.2955,2.5876
0.2961,2.5876
0.2967,2.5926
0.2972,2.5926
0.2978,2.5825
0.2983,2.5825
0.2988,2.5876
0.2994,2.5825
0.2999,2.5926
0.3004,2.5876
0.3009,2.5977
0.3015,2.5926
0.3020,2.5926
0.3026,2.5825
0.3032,2.5926
0.3037,2.5876
0.3043,2.5876
0.3048,2.5825
0.3054,2.5926
0.3060,2.5926
0.3066,2.5876
0.3071,2.5876
0.3077,2.5926
0.3083,2.5876
0.3089,2.5876
0.3094,2.5876
0.3100,2.5825
0.3105,2.5876
0.3110,2.5876
0.3115,2.5876
0.3121,2.5876
0.3126,2.5926
0.3131,2.5876
0.3136,2.5876
0.3142,2.5926
0.3147,2.5876
0.3152,2.5876
0.3157,2.5926
0.3162,2.5825
0.3168,2.5876
0.3173,2.5876
0.3178,2.5876
0.3183,2.5926
0.3189,2.5926
0.3194,2.5926
0.3199,2.5825
0.3205,2.5876
0.3210,2.5876
0.3215,2.5825
0.3220,2.5926
0.3226,2.5926
0.3231,2.5825
0.3236,2.5825
0.3241,2.5876
0.3246,2.5926
0.3252,2.5825
0.3257,2.5825
0.3262,2.5876
0.3267,2.5825
0.3273,2.5876
0.3278,2.5926
0.3283,2.5825
0.3288,2.5926
0.3294,2.5825
0.3299,2.5825
0.3304,2.5825
0.3309,2.5876
0.3314,2.5876
0.3320,2.5876
0.3325,2.5876
0.3330,2.5926
0.3335,2.5876
0.3341,2.5825
0.3346,2.5876
0.3351,2.5876
0.3356,2.5825
0.3362,2.5876
0.3367,2.5926
0.3372,2.5825
0.3377,2.5825
0.3383,2.5926
0.3388,2.5876
0.3393,2.5926
0.3398,2.5825
0.3404,2.5876
0.3409,2.5926
0.3414,2.5876
0.3419,2.5876
0.3424,2.5876
0.3430,2.5876
0.3435,2.5876
0.3440,2.5876
0.3445,2.5825
0.3451,2.5926
0.3456,2.5876
0.3461,2.5825
0.3466,2.5876
0.3471,2.5825
0.3477,2.5825
0.3482,2.5825
0.3487,2.5876
0.3492,2.5876
0.3498,2.5926
0.3503,2.5876
0.3508,2.5825
0.3513,2.5876
0.3518,2.5876
0.3524,2.5876
0.3529,2.5876
0.3534,2.5926
0.3539,2.5926
0.3544,2.5825
0.3550,2.5926
0.3555,2.5926
0.3560,2.5926
0.3565,2.5876
0.3571,2.5876
0.3576,2.5926
0.3581,2.5876
0.3586,2.5825
0.3591,2.5876
0.3597,2.5825
0.3602,2.5926
0.3607,2.5876
0.3612,2.5825
0.3618,2.5876
0.3623,2.5876
0.3628,2.5876
0.3633,2.5825
0.3638,2.5876
0.3644,2.5926
0.3649,2.5876
0.3654,2.5876
0.3659,2.5825
0.3664,2.5926
0.3670,2.5876
0.3675,2.5876
0.3680,2.5876
0.3685,2.5926
0.3691,2.5926
0.3696,2.5876
0.3701,2.5876
0.3706,2.5876
0.3712,2.5926
0.3717,2.5876
0.3722,2.5876
0.3727,2.5825
0.3733,2.5876
0.3738,2.5926
0.3743,2.5825
0.3749,2.5825
0.3754,2.5876
0.3759,2.5876
0.3765,2.5876
0.3770,2.5926
0.3775,2.5926
0.3781,2.5876
0.3786,2.5825
0.3791,2.5926
0.3797,2.5825
0.3802,2.5825
0.3807,2.5926
0.3812,2.5926
0.3818,2.5825
0.3823,2.5876
0.3828,2.5825
0.3834,2.5876
0.3839,2.5825
0.3845,2.5876
0.3850,2.5876
0.3855,2.5926
0.3861,2.5876
0.3866,2.5876
0.3871,2.5876
0.3876,2.5926
0.3882,2.5825
0.3887,2.5825
0.3892,2.5876
0.3897,2.5876
0.3902,2.5825
0.3908,2.5825
0.3913,2.5825
0.3918,2.5926
0.3923,2.5876
0.3929,2.5825
0.3934,2.5876
0.3939,2.5876
0.3944,2.5926
0.3949,2.5876
0.3955,2.5876
0.3960,2.5926
0.3965,2.5876
0.3970,2.5876
0.3976,2.5926
0.3981,2.5825
0.3986,2.5876
0.3991,2.5825
0.3996,2.5876
0.4002,2.5926
0.4007,2.5926
0.4012,2.5876
0.4017,2.5876
0.4022,2.5876
0.4028,2.5876
0.4033,2.5926
0.4038,2.5926
0.4043,2.5876
0.4049,2.5876
0.4054,2.5825
0.4059,2.5876
0.4064,2.5926
0.4069,2.5926
0.4075,2.5876
0.4080,2.5926
0.4085,2.5926
0.4090,2.5977
0.4096,2.5876
0.4101,2.5926
0.4106,2.5876
0.4111,2.5926
0.4116,2.5825
0.4122,2.5876
0.4127,2.5926
0.4132,2.5926
0.4137,2.5876
0.4142,2.5876
0.4148,2.5926
0.4153,2.6027
0.4158,2.5926
0.4163,2.5876
0.4169,2.5977
0.4174,2.5926
0.4179,2.5825
0.4184,2.5825
0.4189,2.5926
0.4195,2.5926
0.4200,2.5926
0.4205,2.5926
0.4210,2.5876
0.4216,2.5825
0.4221,2.5876
0.4226,2.5926
0.4231,2.5876
0.4236,2.5876
0.4242,2.5825
0.4247,2.5926
0.4252,2.5926
0.4257,2.5926
0.4263,2.5926
0.4268,2.5926
0.4273,2.5926
0.4278,2.5825
0.4283,2.5977
0.4289,2.5876
0.4294,2.5926
0.4299,2.5926
0.4304,2.5876
0.4309,2.5876
0.4315,2.5876
0.4320,2.5926
0.4325,2.5926
0.4330,2.5926
0.4336,2.5876
0.4341,2.5926
0.4346,2.5926
0.4351,2.5926
0.4357,2.5926
0.4362,2.5876
0.4367,2.5876
0.4372,2.5825
0.4378,2.5876
0.4383,2.5876
0.4388,2.5926
0.4393,2.5926
0.4398,2.5926
0.4404,2.5876
0.4409,2.5876
0.4414,2.5926
0.4419,2.5926
0.4425,2.5876
0.4430,2.5926
0.4435,2.5926
0.4440,2.5926
0.4446,2.5825
0.4451,2.5926
0.4456,2.5876
0.4462,2.5926
0.4467,2.5825
0.4472,2.5825
0.4477,2.5876
0.4482,2.5876
0.4488,2.5926
0.4493,2.5926
0.4498,2.5825
0.4503,2.5926
0.4509,2.5825
0.4514,2.5876
0.4519,2.5926
0.4524,2.5876
0.4530,2.5876
0.4535,2.5876
0.4540,2.5926
0.4545,2.5926
0.4551,2.5926
0.4556,2.5926
0.4561,2.5825
0.4566,2.5825
0.4571,2.5825
0.4577,2.5825
0.4582,2.5876
0.4587,2.5926
0.4592,2.5926
0.4598,2.5926
0.4603,2.5825
0.4608,2.5876
0.4613,2.5876
0.4618,2.5926
0.4624,2.5825
0.4629,2.5825
0.4634,2.5926
0.4639,2.5825
0.4645,2.5825
0.4650,2.5876
0.4655,2.5926
0.4660,2.5876
0.4665,2.5926
0.4671,2.5926
0.4676,2.5926
0.4681,2.5825
0.4686,2.5926
0.4692,2.5926
0.4697,2.5926
0.4702,2.5876
0.4707,2.5926
0.4713,2.5825
0.4718,2.5926
0.4724,2.5876
