Время[c],Напряжение[В]
0.0000,1.1399
0.0006,1.1349
0.0012,1.1450
0.0018,1.1399
0.0024,1.1450
0.0029,1.1450
0.0035,1.1450
0.0040,1.1399
0.0045,1.1399
0.0051,1.1399
0.0057,1.1450
0.0063,1.1349
0.0068,1.1450
0.0074,1.1450
0.0080,1.1399
0.0086,1.1450
0.0091,1.1450
0.0098,1.1399
0.0105,1.1399
0.0110,1.1450
0.0116,1.1399
0.0122,1.1500
0.0127,1.1399
0.0133,1.1450
0.0139,1.1399
0.0144,1.1450
0.0150,1.1399
0.0157,1.1349
0.0163,1.1450
0.0170,1.1399
0.0189,1.1450
0.0195,1.1450
0.0201,1.1450
0.0228,1.1399
0.0234,1.1450
0.0240,1.1399
0.0247,1.1450
0.0253,1.1450
0.0259,1.1399
0.0266,1.1399
0.0272,1.1450
0.0278,1.1450
0.0284,1.1399
0.0290,1.1399
0.0300,1.1450
0.0306,1.1450
0.0312,1.1399
0.0318,1.1399
0.0324,1.1399
0.0330,1.1450
0.0335,1.1399
0.0341,1.1399
0.0347,1.1500
0.0353,1.1450
0.0358,1.1399
0.0364,1.1399
0.0369,1.1450
0.0375,1.1450
0.0380,1.1450
0.0386,1.1450
0.0392,1.1399
0.0397,1.1450
0.0403,1.1450
0.0408,1.1450
0.0413,1.1450
0.0418,1.1450
0.0424,1.1399
0.0429,1.1349
0.0434,1.1450
0.0439,1.1450
0.0445,1.1450
0.0500,1.1450
0.0506,1.1450
0.0512,1.1450
0.0519,1.1450
0.0526,1.1450
0.0533,1.1450
0.0540,1.1399
0.0548,1.1450
0.0555,1.1399
0.0561,1.1399
0.0568,1.1399
0.0574,1.1399
0.0580,1.1399
0.0586,1.1450
0.0592,1.1450
0.0599,1.1399
0.0605,1.1450
0.0611,1.1450
0.0616,1.1399
0.0622,1.1399
0.0628,1.1349
0.0634,1.1450
0.0640,1.1399
0.0646,1.1399
0.0652,1.1450
0.0658,1.1450
0.0664,1.1399
0.0670,1.1399
0.0676,1.1399
0.0682,1.1450
0.0688,1.1399
0.0694,1.1450
0.0700,1.1450
0.0707,1.1399
0.0713,1.1450
0.0718,1.1399
0.0724,1.1450
0.0730,1.1450
0.0736,1.1399
0.0742,1.1399
0.0748,1.1399
0.0754,1.1450
0.0760,1.1450
0.0766,1.1450
0.0772,1.1450
0.0778,1.1450
0.0783,1.1450
0.0789,1.1450
0.0796,1.1500
0.0802,1.1349
0.0808,1.1450
0.0814,1.1450
0.0821,1.1450
0.0827,1.1450
0.0832,1.1450
0.0838,1.1399
0.0844,1.1450
0.0850,1.1450
0.0855,1.1450
0.0861,1.1399
0.0867,1.1450
0.0874,1.1450
0.0880,1.1349
0.0886,1.1399
0.0892,1.1399
0.0898,1.1399
0.0904,1.1399
0.0910,1.1450
0.0915,1.1450
0.0921,1.1399
0.0927,1.1450
0.0933,1.1450
0.0939,1.1450
0.0945,1.1399
0.0951,1.1450
0.0957,1.1450
0.0962,1.1450
0.0968,1.1399
0.0974,1.1399
0.0980,1.1399
0.0987,1.1399
0.0993,1.1399
0.0999,1.1450
0.1005,1.1450
0.1011,1.1450
0.1016,1.1450
0.1022,1.1399
0.1027,1.1399
0.1033,1.1399
0.1038,1.1450
0.1044,1.1399
0.1049,1.1450
0.1055,1.1450
0.1060,1.1450
0.1065,1.1399
0.1071,1.1399
0.1076,1.1450
0.1082,1.1450
0.1087,1.1399
0.1092,1.1349
0.1098,1.1500
0.1103,1.1399
0.1109,1.1450
0.1115,1.1450
0.1120,1.1399
0.1126,1.1399
0.1132,1.1500
0.1137,1.1399
0.1143,1.1500
0.1149,1.1399
0.1154,1.1450
0.1160,1.1450
0.1166,1.1399
0.1171,1.1450
0.1177,1.1450
0.1183,1.1450
0.1189,1.1399
0.1195,1.1450
0.1201,1.1399
0.1208,1.1450
0.1214,1.1399
0.1221,1.1399
0.1227,1.1450
0.1233,1.1450
0.1239,1.1450
0.1245,1.1349
0.1250,1.1399
0.1256,1.1450
0.1263,1.1450
0.1269,1.1349
0.1274,1.1399
0.1281,1.1399
0.1286,1.1349
0.1292,1.1450
0.1297,1.1399
0.1303,1.1399
0.1309,1.1399
0.1315,1.1399
0.1321,1.1450
0.1326,1.1450
0.1332,1.1450
0.1337,1.1450
0.1345,1.1450
0.1352,1.1399
0.1358,1.1450
0.1363,1.1450
0.1369,1.1450
0.1374,1.1450
0.1379,1.1450
0.1385,1.1399
0.1390,1.1450
0.1396,1.1450
0.1403,1.1450
0.1409,1.1450
0.1415,1.1399
0.1421,1.1450
0.1427,1.1450
0.1433,1.1450
0.1439,1.1500
0.1445,1.1450
0.1451,1.1450
0.1457,1.1450
0.1463,1.1450
0.1469,1.1399
0.1475,1.1399
0.1481,1.1399
0.1486,1.1450
0.1492,1.1349
0.1498,1.1399
0.1504,1.1450
0.1510,1.1450
0.1517,1.1450
0.1523,1.1349
0.1528,1.1450
0.1534,1.1450
0.1539,1.1399
0.1545,1.1399
0.1550,1.1450
0.1556,1.1450
0.1562,1.1450
0.1567,1.1399
0.1578,1.1399
0.1584,1.1450
0.1590,1.1450
0.1595,1.1450
0.1616,1.1399
0.1622,1.1399
0.1627,1.1399
0.1633,1.1450
0.1638,1.1450
0.1645,1.1450
0.1652,1.1399
0.1659,1.1500
0.1665,1.1500
0.1671,1.1399
0.1677,1.1450
0.1683,1.1399
0.1689,1.1450
0.1694,1.1450
0.1701,1.1399
0.1707,1.1399
0.1715,1.1450
0.1723,1.1349
0.1730,1.1399
0.1736,1.1450
0.1743,1.1450
0.1749,1.1399
0.1756,1.1450
0.1763,1.1450
0.1771,1.1450
0.1777,1.1399
0.1783,1.1349
0.1790,1.1450
0.1796,1.1450
0.1824,1.1399
0.1830,1.1399
0.1836,1.1450
0.1841,1.1399
0.1847,1.1450
0.1853,1.1399
0.1859,1.1399
0.1864,1.1450
0.1870,1.1399
0.1875,1.1399
0.1880,1.1399
0.1886,1.1450
0.1891,1.1450
0.1897,1.1450
0.1902,1.1399
0.1908,1.1399
0.1913,1.1450
0.1919,1.1450
0.1924,1.1399
0.1930,1.1399
0.1936,1.1450
0.1941,1.1450
0.1947,1.1450
0.1953,1.1450
0.1958,1.1450
0.1965,1.1450
0.1970,1.1399
0.1976,1.1399
0.1982,1.1450
0.1987,1.1349
0.1993,1.1450
0.1999,1.1399
0.2005,1.1450
0.2011,1.1399
0.2016,1.1399
0.2022,1.1450
0.2028,1.1450
0.2033,1.1450
0.2038,1.1349
0.2044,1.1399
0.2049,1.1450
0.2055,1.1450
0.2060,1.1399
0.2065,1.1399
0.2071,1.1399
0.2076,1.1450
0.2082,1.1399
0.2087,1.1399
0.2093,1.1399
0.2098,1.1399
0.2104,1.1450
0.2110,1.1450
0.2116,1.1450
0.2121,1.1450
0.2126,1.1450
0.2132,1.1399
0.2137,1.1399
0.2143,1.1399
0.2149,1.1399
0.2154,1.1399
0.2160,1.1399
0.2166,1.1399
0.2172,1.1399
0.2178,1.1450
0.2183,1.1450
0.2189,1.1399
0.2195,1.1450
0.2201,1.1450
0.2207,1.1399
0.2213,1.1450
0.2219,1.1450
0.2232,1.1399
0.2239,1.1399
0.2245,1.1399
0.2251,1.1450
0.2256,1.1399
0.2262,1.1450
0.2268,1.1450
0.2273,1.1399
0.2279,1.1399
0.2284,1.1399
0.2290,1.1450
0.2295,1.1399
0.2300,1.1450
0.2306,1.1450
0.2311,1.1450
0.2317,1.1450
0.2322,1.1450
0.2327,1.1399
