Время[c],Напряжение[В]
0.0000,0.6406
0.0006,0.6406
0.0011,0.6406
0.0016,0.6406
0.0022,0.6406
0.0028,0.6355
0.0033,0.6355
0.0039,0.6355
0.0044,0.6355
0.0050,0.6406
0.0056,0.6406
0.0061,0.6355
0.0066,0.6406
0.0072,0.6406
0.0077,0.6355
0.0082,0.6406
0.0087,0.6355
0.0093,0.6406
0.0098,0.6406
0.0103,0.6406
0.0108,0.6406
0.0114,0.6406
0.0119,0.6406
0.0124,0.6355
0.0129,0.6406
0.0134,0.6355
0.0140,0.6406
0.0145,0.6406
0.0150,0.6355
0.0155,0.6355
0.0161,0.6406
0.0166,0.6406
0.0171,0.6355
0.0176,0.6406
0.0182,0.6355
0.0187,0.6406
0.0192,0.6355
0.0197,0.6355
0.0202,0.6406
0.0208,0.6355
0.0213,0.6355
0.0218,0.6355
0.0223,0.6355
0.0229,0.6355
0.0234,0.6355
0.0239,0.6355
0.0244,0.6355
0.0249,0.6355
0.0255,0.6355
0.0260,0.6355
0.0265,0.6355
0.0270,0.6355
0.0276,0.6406
0.0281,0.6355
0.0286,0.6406
0.0291,0.6305
0.0296,0.6355
0.0302,0.6355
0.0307,0.6406
0.0312,0.6406
0.0317,0.6355
0.0322,0.6406
0.0328,0.6406
0.0333,0.6355
0.0338,0.6355
0.0343,0.6355
0.0349,0.6355
0.0354,0.6406
0.0359,0.6406
0.0364,0.6406
0.0369,0.6355
0.0375,0.6406
0.0380,0.6355
0.0385,0.6355
0.0390,0.6355
0.0396,0.6406
0.0401,0.6406
0.0406,0.6355
0.0411,0.6355
0.0416,0.6355
0.0422,0.6406
0.0427,0.6355
0.0432,0.6355
0.0437,0.6355
0.0443,0.6355
0.0448,0.6355
0.0453,0.6406
0.0458,0.6355
0.0463,0.6406
0.0469,0.6355
0.0474,0.6355
0.0479,0.6355
0.0484,0.6355
0.0489,0.6406
0.0495,0.6406
0.0500,0.6406
0.0505,0.6406
0.0510,0.6355
0.0516,0.6355
0.0521,0.6406
0.0526,0.6355
0.0531,0.6355
0.0536,0.6355
0.0542,0.6355
0.0547,0.6355
0.0552,0.6406
0.0557,0.6355
0.0563,0.6355
0.0568,0.6406
0.0573,0.6406
0.0578,0.6355
0.0584,0.6355
0.0589,0.6355
0.0594,0.6355
0.0599,0.6355
0.0604,0.6355
0.0610,0.6406
0.0615,0.6355
0.0620,0.6355
0.0625,0.6355
0.0631,0.6355
0.0636,0.6355
0.0641,0.6355
0.0646,0.6406
0.0652,0.6355
0.0657,0.6355
0.0662,0.6406
0.0667,0.6305
0.0673,0.6355
0.0678,0.6355
0.0683,0.6355
0.0688,0.6355
0.0694,0.6355
0.0699,0.6355
0.0704,0.6406
0.0709,0.6406
0.0715,0.6406
0.0720,0.6406
0.0725,0.6406
0.0730,0.6406
0.0735,0.6355
0.0741,0.6355
0.0746,0.6355
0.0751,0.6406
0.0756,0.6355
0.0762,0.6355
0.0767,0.6355
0.0772,0.6406
0.0777,0.6406
0.0783,0.6406
0.0788,0.6406
0.0793,0.6406
0.0798,0.6355
0.0804,0.6355
0.0809,0.6406
0.0814,0.6355
0.0819,0.6305
0.0825,0.6355
0.0830,0.6406
0.0835,0.6355
0.0840,0.6406
0.0846,0.6406
0.0851,0.6355
0.0856,0.6355
0.0861,0.6406
0.0866,0.6355
0.0872,0.6355
0.0877,0.6355
0.0882,0.6406
0.0887,0.6355
0.0893,0.6406
0.0898,0.6355
0.0903,0.6355
0.0908,0.6355
0.0914,0.6355
0.0919,0.6406
0.0924,0.6355
0.0929,0.6406
0.0935,0.6406
0.0940,0.6355
0.0945,0.6406
0.0950,0.6355
0.0956,0.6355
0.0961,0.6406
0.0966,0.6406
0.0971,0.6355
0.0977,0.6406
0.0982,0.6355
0.0987,0.6355
0.0992,0.6355
0.0997,0.6355
0.1003,0.6355
0.1008,0.6406
0.1013,0.6355
0.1018,0.6355
0.1024,0.6355
0.1029,0.6406
0.1034,0.6406
0.1039,0.6355
0.1045,0.6355
0.1050,0.6355
0.1055,0.6355
0.1060,0.6355
0.1066,0.6355
0.1071,0.6355
0.1076,0.6355
0.1081,0.6355
0.1087,0.6355
0.1092,0.6355
0.1097,0.6355
0.1102,0.6355
0.1107,0.6355
0.1113,0.6355
0.1118,0.6305
0.1123,0.6355
0.1128,0.6355
0.1134,0.6355
0.1139,0.6406
0.1144,0.6355
0.1149,0.6406
0.1155,0.6355
0.1160,0.6355
0.1165,0.6355
0.1170,0.6355
0.1176,0.6355
0.1181,0.6355
0.1186,0.6406
0.1191,0.6355
0.1196,0.6355
0.1202,0.6305
0.1207,0.6355
0.1212,0.6355
0.1217,0.6406
0.1223,0.6355
0.1228,0.6355
0.1233,0.6305
0.1238,0.6355
0.1244,0.6406
0.1249,0.6355
0.1254,0.6355
0.1259,0.6355
0.1265,0.6355
0.1270,0.6355
0.1275,0.6355
0.1280,0.6355
0.1286,0.6355
0.1291,0.6355
0.1296,0.6355
0.1301,0.6406
0.1306,0.6355
0.1312,0.6355
0.1317,0.6355
0.1322,0.6355
0.1327,0.6406
0.1333,0.6305
0.1338,0.6355
0.1343,0.6355
0.1348,0.6355
0.1354,0.6406
0.1359,0.6406
0.1364,0.6355
0.1369,0.6406
0.1375,0.6406
0.1380,0.6305
0.1385,0.6355
0.1390,0.6406
0.1395,0.6355
0.1401,0.6355
0.1406,0.6406
0.1411,0.6355
0.1416,0.6305
0.1422,0.6406
0.1427,0.6406
0.1432,0.6406
0.1437,0.6406
0.1443,0.6406
0.1448,0.6355
0.1453,0.6355
0.1458,0.6355
0.1464,0.6355
0.1469,0.6355
0.1474,0.6355
0.1479,0.6355
0.1485,0.6355
0.1490,0.6355
0.1495,0.6355
0.1500,0.6355
0.1505,0.6355
0.1511,0.6406
0.1516,0.6355
0.1521,0.6355
0.1526,0.6355
0.1532,0.6355
0.1537,0.6355
0.1542,0.6355
0.1547,0.6406
0.1553,0.6355
0.1558,0.6406
0.1563,0.6355
0.1568,0.6406
0.1574,0.6355
0.1579,0.6355
0.1584,0.6355
0.1589,0.6355
0.1594,0.6355
0.1600,0.6355
0.1605,0.6355
0.1610,0.6355
0.1615,0.6355
0.1621,0.6406
0.1626,0.6406
0.1631,0.6355
0.1636,0.6355
0.1642,0.6305
0.1647,0.6406
0.1652,0.6355
0.1657,0.6406
0.1663,0.6406
0.1668,0.6355
0.1673,0.6406
0.1678,0.6406
0.1684,0.6355
0.1689,0.6355
0.1694,0.6406
0.1699,0.6355
0.1704,0.6406
0.1710,0.6355
0.1715,0.6355
0.1720,0.6355
0.1725,0.6355
0.1731,0.6355
0.1736,0.6355
0.1741,0.6355
0.1746,0.6355
0.1752,0.6406
0.1757,0.6406
0.1762,0.6406
0.1767,0.6355
0.1773,0.6355
0.1778,0.6305
0.1783,0.6406
0.1788,0.6355
0.1793,0.6355
0.1799,0.6406
0.1804,0.6406
0.1809,0.6406
0.1814,0.6355
0.1820,0.6355
0.1825,0.6355
0.1830,0.6355
0.1835,0.6355
0.1841,0.6355
0.1846,0.6355
0.1851,0.6355
0.1856,0.6355
0.1862,0.6355
0.1867,0.6355
0.1872,0.6355
0.1877,0.6355
0.1882,0.6355
0.1888,0.6355
0.1893,0.6406
0.1898,0.6355
0.1903,0.6355
0.1909,0.6355
0.1914,0.6406
0.1919,0.6355
0.1924,0.6355
0.1929,0.6406
0.1935,0.6406
0.1940,0.6355
0.1945,0.6355
0.1950,0.6406
0.1956,0.6355
0.1961,0.6355
0.1966,0.6406
0.1972,0.6355
0.1977,0.6355
0.1982,0.6406
0.1987,0.6355
0.1993,0.6355
0.1998,0.6355
0.2003,0.6355
0.2008,0.6406
0.2014,0.6355
0.2019,0.6355
0.2024,0.6355
0.2029,0.6406
0.2035,0.6355
0.2040,0.6355
0.2045,0.6355
0.2050,0.6355
0.2055,0.6355
0.2061,0.6305
0.2066,0.6355
0.2071,0.6355
0.2076,0.6355
0.2082,0.6355
0.2087,0.6355
0.2092,0.6406
0.2097,0.6406
0.2103,0.6355
0.2108,0.6406
0.2113,0.6406
0.2118,0.6406
0.2124,0.6355
0.2129,0.6355
0.2135,0.6406
0.2140,0.6355
0.2145,0.6305
0.2150,0.6355
0.2155,0.6355
0.2161,0.6355
0.2166,0.6355
0.2171,0.6355
0.2176,0.6406
0.2182,0.6406
0.2187,0.6355
0.2192,0.6355
0.2197,0.6355
0.2203,0.6355
0.2208,0.6355
0.2213,0.6355
0.2218,0.6406
0.2224,0.6406
0.2229,0.6355
0.2234,0.6355
0.2239,0.6355
0.2245,0.6406
0.2250,0.6355
0.2255,0.6355
0.2260,0.6355
0.2265,0.6355
0.2271,0.6355
0.2276,0.6355
0.2281,0.6355
0.2286,0.6355
0.2292,0.6355
0.2297,0.6355
0.2302,0.6305
0.2307,0.6406
0.2313,0.6355
0.2318,0.6406
0.2323,0.6355
0.2328,0.6355
0.2334,0.6355
0.2339,0.6355
0.2344,0.6355
0.2349,0.6406
0.2354,0.6406
0.2360,0.6355
0.2365,0.6406
0.2370,0.6355
0.2375,0.6406
0.2381,0.6355
0.2386,0.6406
0.2391,0.6355
0.2396,0.6355
0.2402,0.6355
0.2407,0.6355
0.2412,0.6355
0.2417,0.6355
0.2423,0.6406
0.2428,0.6406
0.2433,0.6406
0.2438,0.6355
0.2443,0.6355
0.2449,0.6406
0.2454,0.6355
0.2459,0.6406
0.2464,0.6355
0.2470,0.6355
0.2475,0.6355
