Время[c],Напряжение[В]
0.0000,2.1336
0.0006,2.1387
0.0011,2.1437
0.0016,2.1437
0.0021,2.1336
0.0027,2.1336
0.0032,2.1437
0.0037,2.1387
0.0042,2.1286
0.0048,2.1336
0.0053,2.1387
0.0058,2.1437
0.0091,2.1387
0.0096,2.1336
0.0101,2.1387
0.0107,2.1387
0.0112,2.1336
0.0118,2.1437
0.0123,2.1437
0.0129,2.1336
0.0134,2.1336
0.0139,2.1387
0.0145,2.1437
0.0150,2.1336
0.0155,2.1437
0.0160,2.1387
0.0166,2.1387
0.0171,2.1387
0.0176,2.1387
0.0181,2.1286
0.0187,2.1336
0.0192,2.1387
0.0197,2.1437
0.0202,2.1387
0.0208,2.1387
0.0213,2.1286
0.0218,2.1437
0.0224,2.1286
0.0229,2.1387
0.0234,2.1437
0.0239,2.1437
0.0244,2.1387
0.0250,2.1387
0.0255,2.1286
0.0260,2.1437
0.0266,2.1387
0.0271,2.1387
0.0277,2.1387
0.0284,2.1387
0.0290,2.1387
0.0296,2.1387
0.0303,2.1387
0.0308,2.1437
0.0315,2.1387
0.0320,2.1387
0.0326,2.1387
0.0331,2.1437
0.0337,2.1387
0.0343,2.1336
0.0348,2.1437
0.0354,2.1387
0.0359,2.1336
0.0365,2.1387
0.0371,2.1336
0.0378,2.1387
0.0385,2.1437
0.0392,2.1387
0.0399,2.1387
0.0406,2.1437
0.0413,2.1387
0.0419,2.1437
0.0425,2.1336
0.0431,2.1387
0.0436,2.1437
0.0442,2.1387
0.0448,2.1437
0.0454,2.1387
0.0459,2.1487
0.0465,2.1387
0.0471,2.1387
0.0476,2.1387
0.0483,2.1437
0.0489,2.1387
0.0496,2.1387
0.0502,2.1437
0.0509,2.1437
0.0516,2.1387
0.0522,2.1387
0.0528,2.1387
0.0534,2.1437
0.0540,2.1387
0.0546,2.1387
0.0553,2.1437
0.0559,2.1437
0.0565,2.1387
0.0571,2.1387
0.0577,2.1387
0.0583,2.1387
0.0589,2.1437
0.0595,2.1336
0.0601,2.1286
0.0608,2.1387
0.0614,2.1387
0.0620,2.1437
0.0626,2.1437
0.0632,2.1387
0.0638,2.1336
0.0644,2.1387
0.0649,2.1437
0.0655,2.1336
0.0661,2.1387
0.0667,2.1286
0.0673,2.1387
0.0679,2.1437
0.0685,2.1336
0.0690,2.1387
0.0696,2.1387
0.0702,2.1387
0.0708,2.1437
0.0714,2.1387
0.0720,2.1387
0.0726,2.1387
0.0732,2.1387
0.0739,2.1387
0.0745,2.1387
0.0752,2.1387
0.0759,2.1387
0.0765,2.1387
0.0771,2.1387
0.0777,2.1437
0.0783,2.1387
0.0789,2.1336
0.0795,2.1437
0.0801,2.1387
0.0806,2.1437
0.0812,2.1387
0.0818,2.1387
0.0824,2.1387
0.0830,2.1437
0.0836,2.1336
0.0843,2.1387
0.0849,2.1336
0.0854,2.1437
0.0860,2.1286
0.0866,2.1387
0.0872,2.1387
0.0877,2.1387
0.0883,2.1336
0.0888,2.1336
0.0895,2.1387
0.0902,2.1437
0.0908,2.1437
0.0914,2.1336
0.0921,2.1437
0.0927,2.1286
0.0933,2.1387
0.0939,2.1387
0.0946,2.1387
0.0952,2.1235
0.0958,2.1387
0.0964,2.1387
0.0970,2.1286
0.0976,2.1437
0.0982,2.1437
0.0989,2.1437
0.0995,2.1387
0.1001,2.1437
0.1007,2.1387
0.1014,2.1336
0.1020,2.1286
0.1026,2.1336
0.1032,2.1387
0.1038,2.1387
0.1044,2.1336
0.1049,2.1387
0.1055,2.1286
0.1061,2.1437
0.1067,2.1437
0.1073,2.1437
0.1078,2.1437
0.1084,2.1387
0.1090,2.1336
0.1096,2.1437
0.1101,2.1387
0.1107,2.1387
0.1113,2.1387
0.1119,2.1387
0.1125,2.1387
0.1131,2.1487
0.1137,2.1387
0.1143,2.1387
0.1148,2.1387
0.1154,2.1387
0.1160,2.1437
0.1166,2.1387
0.1173,2.1387
0.1179,2.1387
0.1184,2.1387
0.1190,2.1437
0.1196,2.1437
0.1201,2.1387
0.1207,2.1387
0.1212,2.1387
0.1218,2.1286
0.1223,2.1387
0.1229,2.1437
0.1235,2.1387
0.1241,2.1286
0.1248,2.1437
0.1254,2.1437
0.1261,2.1336
0.1267,2.1387
0.1274,2.1437
0.1281,2.1286
0.1287,2.1336
0.1294,2.1387
0.1300,2.1387
0.1307,2.1336
0.1313,2.1437
0.1319,2.1387
0.1325,2.1387
0.1331,2.1437
0.1337,2.1437
0.1342,2.1387
0.1348,2.1336
0.1353,2.1387
0.1359,2.1387
0.1364,2.1437
0.1370,2.1387
0.1375,2.1336
0.1381,2.1336
0.1386,2.1387
0.1391,2.1387
0.1397,2.1387
0.1402,2.1336
0.1408,2.1437
0.1413,2.1387
0.1419,2.1387
0.1424,2.1437
0.1430,2.1387
0.1435,2.1437
0.1441,2.1387
0.1446,2.1437
0.1452,2.1387
0.1457,2.1437
0.1464,2.1387
0.1469,2.1387
0.1475,2.1286
0.1481,2.1387
0.1486,2.1437
0.1492,2.1387
0.1498,2.1387
0.1504,2.1387
0.1509,2.1387
0.1515,2.1286
0.1521,2.1437
0.1527,2.1286
0.1533,2.1387
0.1539,2.1437
0.1545,2.1437
0.1550,2.1336
0.1557,2.1336
0.1562,2.1387
0.1568,2.1336
0.1574,2.1336
0.1579,2.1437
0.1586,2.1336
0.1592,2.1387
0.1597,2.1387
0.1603,2.1387
0.1608,2.1336
0.1613,2.1387
0.1618,2.1387
0.1624,2.1387
0.1629,2.1437
0.1634,2.1336
0.1639,2.1437
0.1645,2.1387
0.1650,2.1387
0.1655,2.1387
0.1661,2.1387
0.1666,2.1437
0.1671,2.1387
0.1676,2.1437
0.1682,2.1387
0.1687,2.1437
0.1692,2.1336
0.1697,2.1387
0.1703,2.1387
0.1708,2.1387
0.1713,2.1336
0.1719,2.1387
0.1724,2.1387
0.1729,2.1387
0.1734,2.1387
0.1740,2.1437
0.1745,2.1387
0.1750,2.1387
0.1756,2.1387
0.1761,2.1387
0.1766,2.1387
0.1772,2.1437
0.1778,2.1387
0.1783,2.1336
0.1788,2.1336
0.1794,2.1437
0.1800,2.1336
0.1805,2.1387
0.1811,2.1437
0.1817,2.1387
0.1822,2.1387
0.1828,2.1387
0.1834,2.1387
0.1840,2.1437
0.1846,2.1437
0.1852,2.1387
0.1857,2.1387
0.1862,2.1387
0.1868,2.1387
0.1873,2.1387
0.1878,2.1437
0.1883,2.1387
0.1889,2.1387
0.1894,2.1437
0.1899,2.1387
0.1904,2.1437
0.1909,2.1437
0.1915,2.1387
0.1920,2.1387
0.1925,2.1387
0.1930,2.1437
0.1936,2.1387
0.1941,2.1387
0.1946,2.1336
0.1951,2.1387
0.1956,2.1387
0.1962,2.1437
0.1967,2.1437
0.1972,2.1336
0.1978,2.1387
0.1983,2.1437
0.1988,2.1387
0.1993,2.1387
0.1998,2.1336
0.2004,2.1387
0.2009,2.1387
0.2014,2.1437
0.2019,2.1437
0.2024,2.1387
0.2030,2.1437
0.2035,2.1437
0.2041,2.1387
0.2046,2.1336
0.2051,2.1387
0.2056,2.1286
0.2062,2.1387
0.2067,2.1387
0.2072,2.1336
0.2078,2.1437
0.2083,2.1387
0.2088,2.1336
0.2093,2.1387
0.2099,2.1387
0.2104,2.1336
0.2109,2.1387
0.2114,2.1437
0.2120,2.1387
0.2125,2.1387
0.2130,2.1387
0.2136,2.1387
0.2141,2.1437
0.2146,2.1387
0.2151,2.1437
0.2156,2.1437
0.2162,2.1437
0.2167,2.1387
0.2172,2.1387
0.2177,2.1437
0.2183,2.1387
0.2188,2.1286
0.2193,2.1387
0.2199,2.1437
0.2205,2.1387
0.2211,2.1286
0.2217,2.1437
0.2223,2.1437
0.2230,2.1286
0.2236,2.1437
0.2243,2.1387
0.2249,2.1437
0.2255,2.1286
0.2260,2.1437
0.2266,2.1336
0.2272,2.1437
0.2277,2.1336
0.2283,2.1286
0.2289,2.1387
0.2295,2.1387
0.2301,2.1437
0.2307,2.1336
0.2312,2.1387
0.2318,2.1437
0.2324,2.1387
0.2330,2.1336
0.2335,2.1387
0.2340,2.1336
0.2346,2.1387
0.2351,2.1387
0.2356,2.1336
0.2362,2.1387
0.2367,2.1387
0.2373,2.1437
0.2378,2.1387
0.2383,2.1387
0.2389,2.1437
0.2395,2.1437
0.2401,2.1387
0.2408,2.1437
0.2414,2.1387
0.2420,2.1437
0.2427,2.1437
0.2433,2.1387
0.2439,2.1336
0.2445,2.1286
0.2451,2.1336
0.2458,2.1437
0.2464,2.1437
0.2470,2.1387
0.2476,2.1286
0.2482,2.1437
0.2489,2.1387
0.2496,2.1387
0.2502,2.1387
0.2508,2.1336
0.2514,2.1437
0.2520,2.1387
0.2527,2.1387
0.2533,2.1437
0.2539,2.1286
0.2545,2.1387
0.2551,2.1387
0.2557,2.1387
0.2563,2.1387
0.2569,2.1387
0.2575,2.1387
0.2581,2.1387
0.2587,2.1387
0.2593,2.1387
0.2598,2.1387
0.2604,2.1336
0.2610,2.1437
0.2616,2.1387
0.2622,2.1387
0.2628,2.1387
0.2634,2.1387
0.2640,2.1437
0.2646,2.1387
0.2652,2.1387
0.2658,2.1387
0.2664,2.1387
0.2670,2.1387
0.2676,2.1387
0.2682,2.1437
0.2688,2.1387
0.2694,2.1387
0.2700,2.1387
0.2705,2.1387
0.2711,2.1387
0.2717,2.1387
0.2722,2.1437
0.2727,2.1437
0.2732,2.1336
0.2738,2.1437
0.2743,2.1437
0.2748,2.1387
0.2753,2.1437
0.2758,2.1437
0.2764,2.1336
0.2769,2.1336
0.2774,2.1387
0.2779,2.1286
0.2785,2.1387
0.2790,2.1387
0.2795,2.1336
0.2800,2.1387
0.2805,2.1387
0.2811,2.1387
0.2816,2.1387
0.2821,2.1387
0.2826,2.1437
0.2832,2.1336
0.2837,2.1437
0.2843,2.1336
0.2848,2.1387
0.2854,2.1387
0.2859,2.1387
0.2865,2.1437
0.2870,2.1387
0.2876,2.1387
0.2882,2.1387
0.2888,2.1387
0.2894,2.1387
0.2900,2.1437
0.2905,2.1286
0.2911,2.1387
0.2917,2.1387
0.2922,2.1387
0.2928,2.1286
0.2934,2.1387
0.2940,2.1387
0.2946,2.1387
0.2951,2.1387
0.2957,2.1387
0.2963,2.1387
0.2969,2.1336
0.2974,2.1286
0.2980,2.1387
0.2986,2.1387
0.2991,2.1336
0.2997,2.1336
0.3002,2.1387
0.3008,2.1437
0.3014,2.1387
0.3020,2.1437
0.3026,2.1286
0.3032,2.1387
0.3038,2.1387
0.3044,2.1387
0.3050,2.1437
0.3055,2.1336
0.3061,2.1387
0.3066,2.1286
0.3072,2.1437
0.3078,2.1286
0.3083,2.1387
0.3089,2.1387
0.3094,2.1387
0.3100,2.1336
0.3106,2.1336
0.3112,2.1437
0.3118,2.1387
0.3124,2.1286
0.3129,2.1437
0.3134,2.1387
0.3140,2.1437
0.3145,2.1387
0.3150,2.1387
0.3156,2.1387
0.3161,2.1387
0.3166,2.1336
0.3172,2.1286
0.3177,2.1387
0.3182,2.1387
0.3187,2.1437
0.3193,2.1437
0.3198,2.1336
0.3203,2.1437
0.3209,2.1387
0.3214,2.1387
0.3219,2.1336
0.3224,2.1437
0.3230,2.1336
0.3235,2.1286
0.3240,2.1387
0.3246,2.1387
0.3251,2.1336
0.3256,2.1387
0.3261,2.1387
0.3267,2.1437
0.3272,2.1437
0.3277,2.1437
0.3282,2.1387
0.3288,2.1387
0.3293,2.1387
0.3299,2.1336
0.3304,2.1487
0.3309,2.1387
0.3315,2.1387
0.3320,2.1336
0.3325,2.1437
