Время[c],Напряжение[В]
0.1713,1.0643
0.1718,1.0643
0.1723,1.0592
0.1729,1.0643
0.1734,1.0643
0.1739,1.0643
0.1744,1.0592
0.1750,1.0643
0.1755,1.0592
0.1760,1.0592
0.1765,1.0643
0.1771,1.0643
0.1776,1.0643
0.1781,1.0643
0.1786,1.0643
0.1791,1.0643
0.1797,1.0592
0.1802,1.0643
0.1807,1.0592
0.1812,1.0592
0.1818,1.0643
0.1823,1.0592
0.1828,1.0592
0.1833,1.0542
0.1838,1.0592
0.1844,1.0643
0.1849,1.0643
0.1854,1.0592
0.1859,1.0592
0.1865,1.0592
0.1870,1.0592
0.1875,1.0643
0.1880,1.0643
0.1886,1.0592
0.1891,1.0542
0.1896,1.0592
0.1901,1.0643
0.1906,1.0592
0.1912,1.0542
0.1917,1.0592
0.1922,1.0643
0.1927,1.0592
0.1933,1.0592
0.1938,1.0592
0.1943,1.0643
0.1948,1.0592
0.1954,1.0592
0.1959,1.0592
0.1964,1.0592
0.1969,1.0643
0.1974,1.0592
0.1980,1.0592
0.1985,1.0592
0.1990,1.0592
0.1995,1.0592
0.2001,1.0592
0.2006,1.0592
0.2011,1.0592
0.2016,1.0592
0.2022,1.0592
0.2027,1.0592
0.2032,1.0542
0.2037,1.0592
0.2042,1.0542
0.2048,1.0592
0.2053,1.0592
0.2058,1.0592
0.2063,1.0592
0.2069,1.0592
0.2074,1.0643
0.2079,1.0592
0.2084,1.0592
0.2090,1.0592
0.2095,1.0592
0.2100,1.0592
0.2105,1.0592
0.2110,1.0592
0.2116,1.0643
0.2121,1.0592
0.2126,1.0592
0.2131,1.0592
0.2137,1.0643
0.2142,1.0592
0.2147,1.0592
0.2152,1.0592
0.2158,1.0592
0.2163,1.0592
0.2168,1.0592
0.2173,1.0592
0.2178,1.0491
0.2184,1.0592
0.2189,1.0542
0.2194,1.0592
0.2199,1.0592
0.2205,1.0542
0.2210,1.0592
0.2215,1.0592
0.2220,1.0592
0.2226,1.0592
0.2231,1.0592
0.2236,1.0592
0.2241,1.0592
0.2247,1.0592
0.2252,1.0542
0.2257,1.0592
0.2262,1.0592
0.2268,1.0592
0.2273,1.0592
0.2278,1.0592
0.2283,1.0542
0.2288,1.0542
0.2294,1.0542
0.2299,1.0592
0.2304,1.0592
0.2309,1.0592
0.2315,1.0592
0.2320,1.0592
0.2325,1.0592
0.2330,1.0592
0.2336,1.0542
0.2341,1.0592
0.2346,1.0542
0.2351,1.0542
0.2356,1.0542
0.2362,1.0592
0.2367,1.0542
0.2372,1.0643
0.2377,1.0592
0.2383,1.0592
0.2388,1.0592
0.2393,1.0592
0.2398,1.0542
0.2404,1.0592
0.2409,1.0592
0.2414,1.0592
0.2419,1.0542
0.2424,1.0592
0.2430,1.0542
0.2435,1.0592
0.2440,1.0592
0.2445,1.0592
0.2451,1.0592
0.2456,1.0592
0.2461,1.0592
0.2466,1.0592
0.2472,1.0592
0.2477,1.0592
0.2482,1.0542
0.2487,1.0542
0.2493,1.0542
0.2498,1.0592
0.2503,1.0592
0.2508,1.0592
0.2513,1.0542
0.2519,1.0542
0.2524,1.0542
0.2529,1.0592
0.2534,1.0592
0.2540,1.0542
0.2545,1.0592
0.2550,1.0542
0.2555,1.0643
0.2561,1.0592
0.2566,1.0542
0.2571,1.0542
0.2576,1.0542
0.2581,1.0592
0.2587,1.0542
0.2592,1.0592
0.2597,1.0592
0.2602,1.0592
0.2608,1.0592
0.2613,1.0592
0.2618,1.0592
0.2623,1.0542
0.2628,1.0592
0.2634,1.0542
0.2639,1.0542
0.2644,1.0592
0.2649,1.0542
0.2655,1.0592
0.2660,1.0542
0.2665,1.0542
0.2670,1.0592
0.2676,1.0592
0.2681,1.0592
0.2686,1.0592
0.2691,1.0542
0.2696,1.0592
0.2702,1.0592
0.2707,1.0592
0.2712,1.0592
0.2717,1.0592
0.2723,1.0542
0.2728,1.0592
0.2733,1.0592
0.2738,1.0592
0.2744,1.0592
0.2749,1.0592
0.2754,1.0542
0.2759,1.0542
0.2764,1.0542
0.2770,1.0542
0.2775,1.0592
0.2780,1.0592
0.2785,1.0542
0.2791,1.0592
0.2796,1.0542
0.2801,1.0592
0.2806,1.0592
0.2812,1.0542
0.2817,1.0542
0.2822,1.0542
0.2827,1.0542
0.2832,1.0542
0.2838,1.0542
0.2843,1.0542
0.2848,1.0542
0.2853,1.0592
0.2859,1.0592
0.2864,1.0542
0.2869,1.0491
0.2874,1.0542
0.2880,1.0542
0.2885,1.0542
0.2890,1.0542
0.2895,1.0592
0.2900,1.0592
0.2906,1.0542
0.2911,1.0592
0.2916,1.0491
0.2921,1.0542
0.2927,1.0592
0.2932,1.0542
0.2937,1.0592
0.2942,1.0491
0.2948,1.0542
0.2953,1.0542
0.2958,1.0542
0.2963,1.0542
0.2968,1.0542
0.2974,1.0542
0.2979,1.0592
0.2984,1.0542
0.2989,1.0592
0.2995,1.0592
0.3000,1.0592
0.3005,1.0542
0.3010,1.0542
0.3016,1.0542
0.3021,1.0592
0.3026,1.0542
0.3031,1.0542
0.3036,1.0542
0.3042,1.0542
0.3047,1.0592
0.3054,1.0542
0.3059,1.0542
0.3064,1.0592
0.3069,1.0592
0.3075,1.0592
0.3080,1.0542
0.3085,1.0592
0.3090,1.0542
0.3095,1.0542
0.3101,1.0542
0.3106,1.0592
0.3111,1.0491
0.3116,1.0592
0.3121,1.0542
0.3127,1.0542
0.3132,1.0592
0.3137,1.0542
0.3142,1.0542
0.3148,1.0542
0.3153,1.0542
0.3158,1.0592
0.3163,1.0542
0.3168,1.0542
0.3174,1.0592
0.3179,1.0542
0.3184,1.0592
0.3189,1.0542
0.3195,1.0542
0.3200,1.0542
0.3205,1.0542
0.3210,1.0542
0.3215,1.0592
0.3221,1.0542
0.3226,1.0542
0.3231,1.0542
0.3236,1.0542
0.3241,1.0542
0.3247,1.0542
0.3252,1.0542
0.3257,1.0592
0.3262,1.0542
0.3268,1.0542
0.3273,1.0542
0.3278,1.0592
0.3283,1.0542
0.3288,1.0542
0.3294,1.0542
0.3299,1.0542
0.3304,1.0542
0.3309,1.0491
0.3314,1.0542
0.3320,1.0542
0.3325,1.0542
0.3330,1.0542
0.3335,1.0542
0.3341,1.0592
0.3346,1.0542
0.3351,1.0542
0.3356,1.0592
0.3361,1.0592
0.3367,1.0592
0.3372,1.0592
0.3377,1.0592
0.3382,1.0592
0.3387,1.0542
0.3393,1.0491
0.3398,1.0491
0.3403,1.0542
0.3408,1.0542
0.3414,1.0542
0.3419,1.0542
0.3424,1.0491
0.3429,1.0592
0.3434,1.0542
0.3440,1.0592
