Время[c],Напряжение[В]
0.1676,1.2257
0.1681,1.2307
0.1686,1.2257
0.1691,1.2206
0.1697,1.2257
0.1702,1.2307
0.1707,1.2307
0.1712,1.2257
0.1718,1.2257
0.1723,1.2257
0.1728,1.2307
0.1733,1.2257
0.1738,1.2307
0.1744,1.2307
0.1749,1.2307
0.1754,1.2307
0.1759,1.2307
0.1764,1.2257
0.1770,1.2307
0.1775,1.2307
0.1780,1.2206
0.1785,1.2307
0.1791,1.2257
0.1796,1.2257
0.1801,1.2307
0.1806,1.2307
0.1812,1.2307
0.1817,1.2307
0.1822,1.2307
0.1827,1.2307
0.1833,1.2307
0.1838,1.2307
0.1843,1.2307
0.1848,1.2358
0.1853,1.2307
0.1859,1.2307
0.1864,1.2307
0.1869,1.2307
0.1874,1.2307
0.1880,1.2358
0.1885,1.2307
0.1890,1.2307
0.1895,1.2307
0.1901,1.2307
0.1906,1.2358
0.1911,1.2307
0.1916,1.2307
0.1922,1.2307
0.1927,1.2257
0.1932,1.2307
0.1937,1.2307
0.1943,1.2358
0.1948,1.2358
0.1953,1.2307
0.1958,1.2307
0.1963,1.2307
0.1969,1.2307
0.1974,1.2307
0.1979,1.2358
0.1984,1.2358
0.1990,1.2358
0.1995,1.2358
0.2000,1.2358
0.2005,1.2307
0.2011,1.2358
0.2016,1.2358
0.2021,1.2307
0.2026,1.2358
0.2032,1.2358
0.2037,1.2358
0.2042,1.2358
0.2047,1.2358
0.2053,1.2307
0.2058,1.2408
0.2063,1.2408
0.2068,1.2358
0.2073,1.2307
0.2079,1.2358
0.2084,1.2358
0.2089,1.2358
0.2094,1.2358
0.2100,1.2358
0.2105,1.2358
0.2110,1.2408
0.2115,1.2358
0.2121,1.2307
0.2126,1.2358
0.2131,1.2408
0.2136,1.2358
0.2142,1.2358
0.2147,1.2358
0.2152,1.2358
0.2157,1.2459
0.2163,1.2358
0.2168,1.2358
0.2173,1.2408
0.2178,1.2408
0.2184,1.2358
0.2189,1.2408
0.2194,1.2408
0.2199,1.2408
0.2204,1.2358
0.2210,1.2408
0.2215,1.2408
0.2220,1.2408
0.2225,1.2408
0.2231,1.2408
0.2236,1.2408
0.2241,1.2408
0.2246,1.2408
0.2251,1.2408
0.2257,1.2358
0.2262,1.2358
0.2267,1.2358
0.2272,1.2358
0.2277,1.2358
0.2283,1.2408
0.2288,1.2358
0.2293,1.2408
0.2298,1.2358
0.2304,1.2408
0.2309,1.2408
0.2314,1.2358
0.2319,1.2408
0.2325,1.2408
0.2330,1.2408
0.2335,1.2358
0.2340,1.2408
0.2346,1.2408
0.2351,1.2408
0.2356,1.2408
0.2361,1.2408
0.2366,1.2408
0.2372,1.2408
0.2377,1.2408
0.2382,1.2408
0.2387,1.2408
0.2393,1.2408
0.2398,1.2408
0.2403,1.2408
0.2408,1.2408
0.2414,1.2358
0.2419,1.2408
0.2424,1.2408
0.2429,1.2408
0.2435,1.2408
0.2440,1.2408
0.2445,1.2459
0.2451,1.2408
0.2456,1.2408
0.2461,1.2459
0.2466,1.2408
0.2472,1.2459
0.2477,1.2408
0.2482,1.2408
0.2488,1.2408
0.2493,1.2408
0.2498,1.2459
0.2504,1.2459
0.2509,1.2408
0.2514,1.2358
0.2520,1.2408
0.2525,1.2408
0.2530,1.2408
0.2536,1.2408
0.2541,1.2408
0.2546,1.2408
0.2552,1.2408
0.2557,1.2408
0.2562,1.2358
0.2568,1.2408
0.2580,1.2459
0.2585,1.2408
0.2590,1.2459
0.2595,1.2408
0.2601,1.2408
0.2606,1.2408
0.2611,1.2459
0.2616,1.2459
0.2622,1.2459
0.2627,1.2408
0.2632,1.2408
0.2637,1.2408
0.2642,1.2408
0.2648,1.2459
0.2653,1.2408
0.2658,1.2408
0.2663,1.2459
0.2669,1.2408
0.2674,1.2408
0.2679,1.2358
0.2684,1.2459
0.2689,1.2408
0.2695,1.2408
0.2700,1.2408
0.2705,1.2408
0.2710,1.2408
0.2716,1.2408
0.2721,1.2408
0.2726,1.2408
0.2731,1.2408
0.2736,1.2408
0.2742,1.2459
0.2747,1.2408
0.2752,1.2459
0.2757,1.2459
0.2762,1.2408
0.2768,1.2459
0.2773,1.2408
0.2778,1.2459
0.2783,1.2408
0.2789,1.2459
0.2794,1.2408
0.2799,1.2408
0.2804,1.2408
0.2810,1.2459
0.2815,1.2459
0.2820,1.2408
0.2825,1.2459
0.2830,1.2459
0.2836,1.2459
0.2841,1.2408
0.2846,1.2408
0.2851,1.2459
0.2856,1.2408
0.2862,1.2459
0.2867,1.2459
0.2872,1.2459
0.2877,1.2459
0.2883,1.2459
0.2888,1.2408
0.2893,1.2358
0.2898,1.2408
0.2903,1.2459
0.2909,1.2459
0.2914,1.2408
0.2919,1.2408
0.2924,1.2459
0.2930,1.2459
0.2935,1.2459
0.2940,1.2459
0.2945,1.2408
0.2950,1.2408
0.2956,1.2459
0.2961,1.2408
0.2966,1.2408
0.2971,1.2408
0.2976,1.2459
0.2982,1.2459
0.2987,1.2459
0.2992,1.2408
0.2997,1.2459
0.3003,1.2408
0.3008,1.2459
0.3013,1.2408
0.3018,1.2408
0.3024,1.2459
0.3029,1.2408
0.3034,1.2408
0.3039,1.2408
0.3045,1.2459
0.3050,1.2408
0.3055,1.2408
0.3060,1.2459
0.3065,1.2459
0.3071,1.2459
0.3076,1.2408
0.3081,1.2358
0.3086,1.2408
