Время[c],Напряжение[В]
0.1693,1.6242
0.1698,1.6242
0.1703,1.6242
0.1709,1.6242
0.1714,1.6242
0.1719,1.6191
0.1725,1.6242
0.1730,1.6141
0.1735,1.6242
0.1741,1.6242
0.1746,1.6242
0.1751,1.6242
0.1757,1.6242
0.1762,1.6141
0.1768,1.6191
0.1773,1.6242
0.1779,1.6242
0.1784,1.6191
0.1790,1.6242
0.1796,1.6242
0.1801,1.6242
0.1807,1.6292
0.1812,1.6242
0.1818,1.6191
0.1824,1.6242
0.1829,1.6242
0.1834,1.6191
0.1840,1.6242
0.1845,1.6242
0.1851,1.6191
0.1856,1.6191
0.1861,1.6191
0.1866,1.6141
0.1871,1.6242
0.1877,1.6191
0.1882,1.6191
0.1888,1.6191
0.1894,1.6242
0.1900,1.6191
0.1905,1.6242
0.1911,1.6242
0.1916,1.6242
0.1922,1.6191
0.1927,1.6141
0.1932,1.6242
0.1939,1.6242
0.1944,1.6191
0.1949,1.6242
0.1955,1.6242
0.1960,1.6242
0.1965,1.6242
0.1970,1.6242
0.1976,1.6242
0.1981,1.6191
0.1986,1.6191
0.1992,1.6242
0.1997,1.6242
0.2002,1.6242
0.2008,1.6242
0.2013,1.6242
0.2018,1.6191
0.2023,1.6242
0.2029,1.6242
0.2034,1.6191
0.2039,1.6242
0.2044,1.6242
0.2050,1.6242
0.2055,1.6191
0.2060,1.6141
0.2065,1.6191
0.2071,1.6191
0.2076,1.6242
0.2081,1.6242
0.2086,1.6242
0.2092,1.6191
0.2097,1.6242
0.2102,1.6191
0.2107,1.6191
0.2112,1.6191
0.2118,1.6242
0.2123,1.6242
0.2128,1.6242
0.2133,1.6292
0.2139,1.6242
0.2144,1.6191
0.2149,1.6242
0.2155,1.6242
0.2160,1.6242
0.2165,1.6242
0.2170,1.6242
0.2176,1.6191
0.2181,1.6242
0.2186,1.6242
0.2191,1.6242
0.2197,1.6191
0.2202,1.6191
0.2207,1.6242
0.2212,1.6242
0.2218,1.6191
0.2223,1.6242
0.2228,1.6191
